낚시터명,낚시터유형,주소,WGS84위도,WGS84경도,전화번호,주요어종,이용요금,데이터기준일자,시/도,시군구(전체)
신시도 유료낚시터,바다,전북특별자치도 군산시 옥도면 신시도길 40,35.81812509,126.4490189,,우럭+도미 등,"20,000원",2024-12-02,전북특별자치도,군산시
송현낚시터,평지,"전북특별자치도 완주군 고산면 남봉로 5-98, 송현낚시터",35.9679,127.1867,063-262-3690,"붕어, 송어","25,000원",2024-08-13,전북특별자치도,완주군
호암낚시터,기타,"전북특별자치도 임실군 신평면 호암3길 1-20, 호암사계절낚시터",35.654754,127.24716,,"붕어류, 잉어류",20000원,2025-06-26,전북특별자치도,임실군
자연을닮은사람들,저수지,전북특별자치도 임실군 관촌면 용산리 176-6 자연을닮은사람들,35.645866,127.286135,,"향어류, 잉어류, 붕어류",35000원,2025-06-26,전북특별자치도,임실군
자연을닮은사람들,저수지,전북특별자치도 임실군 관촌면 용산리 176-6 자연을닮은사람들,35.645866,127.286135,,"향어류, 잉어류, 붕어류",35000원,2025-06-26,전북특별자치도,임실군
호암낚시터,기타,"전북특별자치도 임실군 신평면 호암3길 1-20, 호암사계절낚시터",35.654754,127.24716,,"붕어류, 잉어류",20000원,2025-06-26,전북특별자치도,임실군
백화낚시터,저수지,전북특별자치도 진안군 안천면 진무로 3206,35.90144004,127.574178,063-432-5449,붕어,"1일 20,000원",2025-06-20,전북특별자치도,진안군
산외 강현낚시터,기타,전북특별자치도 정읍시 산외면 상두1길 11-17,35.6315183,127.0596968,063-532-1112,"붕어,잉어,기타 내수면어종","08시~22시 / 25,000원08시~익일 08시 / 50,000원",2022-05-19,전북특별자치도,정읍시
우정낚시터,기타,전북특별자치도 정읍시 소성면 소성상평로 238,35.5603433,126.8053888,063-533-1322,붕어+잉어,1일 15000원,2022-05-19,전북특별자치도,정읍시
자바라,기타,전북특별자치도 전주시 완산구 평화로 69,35.7830203,127.1331617,063-228-5557,잉어,1일 10000원,2021-10-20,전북특별자치도,전주시
송치낚시터,평지,전북특별자치도 남원시 주천면 웅치길 20,35.377,127.432,,"붕어, 잉어, 향어","20,000",2024-07-16,전북특별자치도,남원시
물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",36.329039,127.42833,,붕어 등,"10,000원",2022-06-17,대전광역시,중구
Love낚시카페,기타,"대전광역시 서구 관저로 160, 지하1층",36.29872121,127.3395894,042-544-4222,"붕어, 잉어","10,000원",2023-04-13,대전광역시,서구
우명실내낚시터,기타,대전광역시 서구 우명길 148(우명동),36.2287571,127.2935111,042-841-9545,"붕어, 잉어","15,000원",2023-04-13,대전광역시,서구
물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",36.329039,127.42833,042-252-2225,붕어 등,"10,000원",2024-06-30,대전광역시,중구
물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",36.329039,127.42833,042-252-2225,붕어 등,"10,000원",2023-08-24,대전광역시,중구
물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",36.329039,127.42833,042-252-2225,붕어 등,"10,000원",2024-01-01,대전광역시,중구
㈜정성레저,바다,인천광역시 중구 백운로186번길 140-1 (중산동),37.51420751,126.5436932,032-751-1515,"돔, 점성어","70,000원(성인남성기준)",2020-09-10,인천광역시,중구
포인트실내낚시카페낚시터,기타,"인천광역시 중구 우현로 63, 몽벨,대한애경미용학원,이용화이비인후과 (내동)",37.4728317,126.6289879,032-762-3494,잉어+붕어,"10,000(시간당/성인남성기준)",2020-09-10,인천광역시,중구
(주)영종레저,바다,"인천광역시 중구 영종순환로 279-20, 만정낚시터 (중산동)",37.5154665,126.5499277,032-747-1133,돔+점성어+붕어,"60,000원(성인남성기준)",2020-09-10,인천광역시,중구
대동실내낚시터,기타,"인천광역시 서구 심곡로 133, 대동상가 지하 1층 (심곡동)",,,050-7138-4893,붕어,"성인 기본 1시간 11,000원",2024-07-23,인천광역시,서구
두밀촌 낚시터,평지,인천광역시 서구 두밀로 91 (대곡동),,,,붕어,"1일 30,000원",2024-07-23,인천광역시,서구
인천 락 실내바다낚시터,기타,인천광역시 서구 한서로 36-10 (백석동),,,032-563-7949,활바다가재,"3시간 : 45,000원 6시간 : 80,000원 9시간 : 100,000원",2024-07-23,인천광역시,서구
놀이터 실내낚시카페,기타,"인천광역시 서구 가정로 208, 지하 1층 (석남동)",,,,"메기, 향어","남성 : 11,000원 여성 : 10,000원 어린이 : 8,000원 커플 : 20,000원",2024-07-23,인천광역시,서구
